Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
South Carolina,26%,74%
North Carolina,27%,73%
Tennessee,25%,75%
West Virginia,29%,71%
Illinois,28%,72%
Kentucky,26%,74%
Georgia,28%,72%
Virginia,28%,72%
Utah,25%,75%
Alabama,26%,74%
Oklahoma,22%,78%
Arizona,25%,75%
Indiana,26%,74%
Arkansas,23%,77%
Rhode Island,27%,73%
Delaware,27%,73%
Nevada,23%,77%
Florida,26%,74%
Pennsylvania,27%,73%
Texas,24%,76%
Maryland,26%,74%
Michigan,25%,75%
Kansas,23%,77%
New Jersey,28%,72%
Missouri,22%,78%
Mississippi,21%,79%
Connecticut,25%,75%
Ohio,25%,75%
Wisconsin,23%,77%
Idaho,22%,78%
Nebraska,21%,79%
Iowa,22%,78%
Louisiana,22%,78%
California,23%,77%
North Dakota,21%,79%
Minnesota,22%,78%
New York,25%,75%
New Hampshire,23%,77%
Oregon,21%,79%
Massachusetts,26%,74%
New Mexico,22%,78%
Colorado,21%,79%
Washington,21%,79%
South Dakota,15%,85%
Maine,20%,80%
Wyoming,19%,81%
Vermont,20%,80%
Montana,16%,84%
Alaska,17%,83%
Hawaii,15%,85%
District of Columbia,20%,80%
